"region.key","region.name","FUND","worldbank"
"ABW","Aruba","SIS","high"
"AFG","Afghanistan","SAS","low"
"AGO","Angola","SSA","lower-middle"
"AIA","Anguilla","CAM","missing"
"ALA","Åland Islands","WEU","missing"
"ALB","Albania","EEU","upper-middle"
"AND","Andorra","WEU","high"
"ARE","United Arab Emirates","MDE","high"
"ARG","Argentina","LAM","upper-middle"
"ARM","Armenia","FSU","upper-middle"
"ASM","American Samoa","USA","upper-middle"
"ATA","Antarctica","","missing"
"ATF","French Southern Territories","SSA","missing"
"ATG","Antigua and Barbuda","SIS","high"
"AUS","Australia","ANZ","high"
"AUT","Austria","WEU","high"
"AZE","Azerbaijan","FSU","upper-middle"
"BDI","Burundi","SSA","low"
"BEL","Belgium","WEU","high"
"BEN","Benin","SSA","lower-middle"
"BES","Bonaire, Saint Eustatius and Saba","CAM","missing"
"BFA","Burkina Faso","SSA","low"
"BGD","Bangladesh","SAS","lower-middle"
"BGR","Bulgaria","EEU","upper-middle"
"BHR","Bahrain","MDE","high"
"BHS","Bahamas","SIS","high"
"BIH","Bosnia and Herzegovina","EEU","upper-middle"
"BLM","Saint-Barthélemy","CAM","missing"
"BLR","Belarus","FSU","upper-middle"
"BLZ","Belize","CAM","upper-middle"
"BMU","Bermuda","SIS","high"
"BOL","Bolivia","LAM","lower-middle"
"BRA","Brazil","LAM","upper-middle"
"BRB","Barbados","SIS","high"
"BRN","Brunei Darussalam","SEA","high"
"BTN","Bhutan","SAS","lower-middle"
"BVT","Bouvet Island","SIS","missing"
"BWA","Botswana","SSA","upper-middle"
"CA-","Caspian Sea","","missing"
"CAF","Central African Republic","SSA","low"
"CAN","Canada","CAN","high"
"CCK","Cocos Islands","SIS","missing"
"CHE","Switzerland","WEU","high"
"CHL","Chile","LAM","high"
"CHN","China","CHI","upper-middle"
"CIV","Cote d'Ivoire","SSA","lower-middle"
"CL-","Clipperton Island","","missing"
"CMR","Cameroon","SSA","lower-middle"
"COD","Democratic Republic of the Congo","SSA","low"
"COG","Republic of Congo","SSA","lower-middle"
"COK","Cook Islands","SIS","missing"
"COL","Colombia","LAM","upper-middle"
"COM","Comoros","SIS","lower-middle"
"CPV","Cape Verde","SSA","lower-middle"
"CRI","Costa Rica","CAM","upper-middle"
"CUB","Cuba","SIS","upper-middle"
"CUW","Curaçao","CAM","high"
"CXR","Christmas Island","SIS","missing"
"CYM","Cayman Islands","CAM","high"
"CYP","Cyprus","WEU","high"
"CZE","Czech Republic","EEU","high"
"DEU","Germany","WEU","high"
"DJI","Djibouti","SSA","lower-middle"
"DMA","Dominica","SIS","upper-middle"
"DNK","Denmark","WEU","high"
"DOM","Dominican Republic","SIS","upper-middle"
"DZA","Algeria","MAF","lower-middle"
"ECU","Ecuador","LAM","upper-middle"
"EGY","Egypt","MAF","lower-middle"
"ERI","Eritrea","SSA","low"
"ESH","Western Sahara","MAF","missing"
"ESP","Spain","WEU","high"
"EST","Estonia","FSU","high"
"ETH","Ethiopia","SSA","low"
"FIN","Finland","WEU","high"
"FJI","Fiji","SIS","upper-middle"
"FLK","Falkland Islands","SIS","missing"
"FRA","France","WEU","high"
"FRO","Faroe Islands","WEU","high"
"FSM","Federated States of Micronesia","SIS","lower-middle"
"GAB","Gabon","SSA","upper-middle"
"GBR","United Kingdom","WEU","high"
"GEO","Georgia","FSU","upper-middle"
"GGY","Guernsey","WEU","high"
"GHA","Ghana","SSA","lower-middle"
"GIB","Gibraltar","WEU","high"
"GIN","Guinea","SSA","low"
"GLP","Guadeloupe","SIS","missing"
"GMB","Gambia","SSA","low"
"GNB","Guinea-Bissau","SSA","low"
"GNQ","Equatorial Guinea","SSA","upper-middle"
"GRC","Greece","WEU","high"
"GRD","Grenada","SIS","upper-middle"
"GRL","Greenland","WEU","high"
"GTM","Guatemala","CAM","upper-middle"
"GUF","French Guiana","LAM","missing"
"GUM","Guam","USA","high"
"GUY","Guyana","LAM","upper-middle"
"HKG","Hong Kong","CHI","high"
"HMD","Heard Island and McDonald Islands","SSA","missing"
"HND","Honduras","CAM","lower-middle"
"HRV","Croatia","EEU","high"
"HTI","Haiti","SIS","lower-middle"
"HUN","Hungary","EEU","high"
"IDN","Indonesia","SEA","lower-middle"
"IMN","Isle of Man","WEU","high"
"IND","India","SAS","lower-middle"
"IOT","British Indian Ocean Territory","SIS","missing"
"IRL","Ireland","WEU","high"
"IRN","Iran","MDE","lower-middle"
"IRQ","Iraq","MDE","upper-middle"
"ISL","Iceland","WEU","high"
"ISR","Israel","MDE","high"
"ITA","Italy","WEU","high"
"JAM","Jamaica","SIS","upper-middle"
"JEY","Jersey","WEU","high"
"JOR","Jordan","MDE","upper-middle"
"JPN","Japan","JPK","high"
"KAZ","Kazakhstan","FSU","upper-middle"
"KEN","Kenya","SSA","lower-middle"
"KGZ","Kyrgyzstan","FSU","lower-middle"
"KHM","Cambodia","SEA","lower-middle"
"KIR","Kiribati","SIS","lower-middle"
"KNA","Saint Kitts and Nevis","SIS","high"
"KO-","Kosovo","EEU","upper-middle"
"KOR","South Korea","JPK","high"
"KWT","Kuwait","MDE","high"
"LAO","Laos","SEA","lower-middle"
"LBN","Lebanon","MDE","lower-middle"
"LBR","Liberia","SSA","low"
"LBY","Libya","MAF","upper-middle"
"LCA","Saint Lucia","SIS","upper-middle"
"LIE","Liechtenstein","WEU","high"
"LKA","Sri Lanka","SAS","lower-middle"
"LSO","Lesotho","SSA","lower-middle"
"LTU","Lithuania","FSU","high"
"LUX","Luxembourg","WEU","high"
"LVA","Latvia","FSU","high"
"MAC","Macao","CHI","high"
"MAF","Saint Martin","CAM","high"
"MAR","Morocco","MAF","lower-middle"
"MCO","Monaco","WEU","high"
"MDA","Moldova","FSU","upper-middle"
"MDG","Madagascar","SSA","low"
"MDV","Maldives","SIS","upper-middle"
"MEX","Mexico","CAM","upper-middle"
"MHL","Marshall Islands","SIS","upper-middle"
"MKD","Macedonia","EEU","upper-middle"
"MLI","Mali","SSA","low"
"MLT","Malta","WEU","high"
"MMR","Myanmar","SEA","lower-middle"
"MNE","Montenegro","EEU","upper-middle"
"MNG","Mongolia","CHI","lower-middle"
"MNP","Northern Mariana Islands","SIS","high"
"MOZ","Mozambique","SSA","low"
"MRT","Mauritania","SSA","lower-middle"
"MSR","Montserrat","CAM","missing"
"MTQ","Martinique","SIS","missing"
"MUS","Mauritius","SIS","upper-middle"
"MWI","Malawi","SSA","low"
"MYS","Malaysia","SEA","upper-middle"
"MYT","Mayotte","SSA","missing"
"NAM","Namibia","SSA","upper-middle"
"NCL","New Caledonia","SIS","high"
"NER","Niger","SSA","low"
"NFK","Norfolk Island","SIS","missing"
"NGA","Nigeria","SSA","lower-middle"
"NIC","Nicaragua","CAM","lower-middle"
"NIU","Niue","ANZ","missing"
"NLD","Netherlands","WEU","high"
"NOR","Norway","WEU","high"
"NPL","Nepal","SAS","lower-middle"
"NRU","Nauru","SIS","high"
"NZL","New Zealand","ANZ","high"
"OMN","Oman","MDE","high"
"PAK","Pakistan","SAS","lower-middle"
"PAN","Panama","CAM","high"
"PCN","Pitcairn","WEU","missing"
"PER","Peru","LAM","upper-middle"
"PHL","Philippines","SEA","lower-middle"
"PLW","Palau","SIS","upper-middle"
"PNG","Papua New Guinea","SEA","lower-middle"
"POL","Poland","EEU","high"
"PRI","Puerto Rico","SIS","high"
"PRK","North Korea","CHI","low"
"PRT","Portugal","WEU","high"
"PRY","Paraguay","LAM","upper-middle"
"PSE","State of Palestine","MDE","lower-middle"
"PYF","French Polynesia","SIS","high"
"QAT","Qatar","MDE","high"
"REU","Réunion","SIS","missing"
"ROU","Romania","EEU","high"
"RUS","Russia","FSU","upper-middle"
"RWA","Rwanda","SSA","low"
"SAU","Saudi Arabia","MDE","high"
"SDN","Sudan","SSA","low"
"SEN","Senegal","SSA","lower-middle"
"SGP","Singapore","SEA","high"
"SGS","South Georgia and the South Sandwich Islands","SIS","missing"
"SHN","Saint Helena","SIS","missing"
"SJM","Svalbard and Jan Mayen","WEU","missing"
"SLB","Solomon Islands","SIS","lower-middle"
"SLE","Sierra Leone","SSA","low"
"SLV","El Salvador","CAM","lower-middle"
"SMR","San Marino","WEU","high"
"SMX","Sint Maarten","CAM","high"
"SOM","Somalia","SSA","low"
"SP-","Spratly islands","","missing"
"SPM","Saint Pierre and Miquelon","WEU","missing"
"SRB","Serbia","EEU","upper-middle"
"SSD","South Sudan","SSA","low"
"STP","Sao Tome and Principe","SIS","lower-middle"
"SUR","Suriname","LAM","upper-middle"
"SVK","Slovakia","EEU","high"
"SVN","Slovenia","EEU","high"
"SWE","Sweden","WEU","high"
"SWZ","Swaziland","SSA","lower-middle"
"SYC","Seychelles","SIS","high"
"SYR","Syria","MDE","low"
"TCA","Turks and Caicos Islands","CAM","high"
"TCD","Chad","SSA","low"
"TGO","Togo","SSA","low"
"THA","Thailand","SEA","upper-middle"
"TJK","Tajikistan","FSU","lower-middle"
"TKL","Tokelau","SIS","missing"
"TKM","Turkmenistan","FSU","upper-middle"
"TLS","Timor-Leste","SEA","lower-middle"
"TON","Tonga","SIS","upper-middle"
"TTO","Trinidad and Tobago","SIS","high"
"TUN","Tunisia","MAF","lower-middle"
"TUR","Turkey","MDE","upper-middle"
"TUV","Tuvalu","SIS","upper-middle"
"TWN","Taiwan","SEA","high"
"TZA","Tanzania","SSA","lower-middle"
"UGA","Uganda","SSA","low"
"UKR","Ukraine","FSU","lower-middle"
"UMI","United States Minor Outlying Islands","USA","missing"
"URY","Uruguay","LAM","high"
"USA","United States","USA","high"
"UZB","Uzbekistan","FSU","lower-middle"
"VAT","Vatican City","WEU","missing"
"VCT","Saint Vincent and the Grenadines","SIS","upper-middle"
"VEN","Venezuela","LAM","missing"
"VGB","British Virgin Islands","SIS","high"
"VIR","United States Virgin Islands","USA","high"
"VNM","Vietnam","SEA","lower-middle"
"VUT","Vanuatu","SIS","lower-middle"
"WLF","Wallis and Futuna","SIS","missing"
"WSM","Samoa","SIS","lower-middle"
"YEM","Yemen","MDE","low"
"ZAF","South Africa","SSA","upper-middle"
"ZMB","Zambia","SSA","low"
"ZWE","Zimbabwe","SSA","lower-middle"
