,impact,stat,period_start,iso,damages
0,electricity,mean,2020,ABW,344994.5792167381
1,electricity,mean,2020,AFG,-50471205.58116782
2,electricity,mean,2020,AGO,16537932.021142105
3,electricity,mean,2020,ALB,-790076.0898926862
4,electricity,mean,2020,ARE,229000303.73139077
5,electricity,mean,2020,ARG,95923116.71899158
6,electricity,mean,2020,ARM,-1709485.089487053
7,electricity,mean,2020,AUS,95622507.5144196
8,electricity,mean,2020,AUT,-22121421.79477665
9,electricity,mean,2020,AZE,31153746.821630377
10,electricity,mean,2020,BDI,-8708960.099905774
11,electricity,mean,2020,BEL,-10529548.747285921
12,electricity,mean,2020,BEN,37180806.16297271
13,electricity,mean,2020,BFA,85058285.49790952
14,electricity,mean,2020,BGD,209158561.5193747
15,electricity,mean,2020,BGR,170762.10277735148
16,electricity,mean,2020,BHR,34715044.05490848
17,electricity,mean,2020,BHS,3618829.468841956
18,electricity,mean,2020,BIH,-2014530.7528740629
19,electricity,mean,2020,BLR,-12403299.01077294
20,electricity,mean,2020,BLZ,1671213.9656533587
21,electricity,mean,2020,BOL,3036270.416993549
22,electricity,mean,2020,BRA,1002060864.4162496
23,electricity,mean,2020,BRB,2200578.9025960783
24,electricity,mean,2020,BRN,4558273.357539393
25,electricity,mean,2020,BTN,70063.34347610825
26,electricity,mean,2020,BWA,9213414.341039523
27,electricity,mean,2020,CAF,12784344.392700378
28,electricity,mean,2020,CAN,-141043025.48756558
29,electricity,mean,2020,CHE,-20030930.163480934
30,electricity,mean,2020,CHL,3909425.77141931
31,electricity,mean,2020,CHN,2024642837.6150365
32,electricity,mean,2020,CIV,63216657.748978876
33,electricity,mean,2020,CMR,47573362.80740107
34,electricity,mean,2020,COD,161541416.94409963
35,electricity,mean,2020,COG,12609992.876484096
36,electricity,mean,2020,COL,110084292.52484052
37,electricity,mean,2020,COM,1282947.2915265155
38,electricity,mean,2020,CPV,152423.30518134785
39,electricity,mean,2020,CRI,16489892.328457106
40,electricity,mean,2020,CUB,85991541.43094724
41,electricity,mean,2020,CYP,6391650.077867028
42,electricity,mean,2020,CZE,-7572232.273105952
43,electricity,mean,2020,DEU,-130026219.47396946
44,electricity,mean,2020,DJI,3403681.5545271463
